Country,gear,year,indicator,count
China,drifting_longlines,2012,Number of vessels,36
China,drifting_longlines,2013,Number of vessels,78
China,drifting_longlines,2014,Number of vessels,108
China,drifting_longlines,2015,Number of vessels,192
China,drifting_longlines,2016,Number of vessels,206
China,drifting_longlines,2017,Number of vessels,240
China,drifting_longlines,2018,Number of vessels,159
China,squid_jigger,2012,Number of vessels,18
China,squid_jigger,2013,Number of vessels,49
China,squid_jigger,2014,Number of vessels,155
China,squid_jigger,2015,Number of vessels,210
China,squid_jigger,2016,Number of vessels,197
China,squid_jigger,2017,Number of vessels,303
China,squid_jigger,2018,Number of vessels,153
China,trawlers,2012,Number of vessels,3
China,trawlers,2013,Number of vessels,5
China,trawlers,2014,Number of vessels,13
China,trawlers,2015,Number of vessels,20
China,trawlers,2016,Number of vessels,13
China,trawlers,2017,Number of vessels,13
Estonia,trawlers,2012,Number of vessels,2
Estonia,trawlers,2013,Number of vessels,3
Estonia,trawlers,2014,Number of vessels,3
Estonia,trawlers,2015,Number of vessels,1
Estonia,trawlers,2016,Number of vessels,1
Estonia,trawlers,2017,Number of vessels,2
Estonia,trawlers,2018,Number of vessels,1
Falkland Islands,trawlers,2012,Number of vessels,4
Falkland Islands,trawlers,2013,Number of vessels,10
Falkland Islands,trawlers,2014,Number of vessels,6
Falkland Islands,trawlers,2015,Number of vessels,4
Faroe Islands,trawlers,2012,Number of vessels,6
Faroe Islands,trawlers,2013,Number of vessels,2
Faroe Islands,trawlers,2014,Number of vessels,2
Faroe Islands,trawlers,2015,Number of vessels,1
Japan,drifting_longlines,2012,Number of vessels,85
Japan,drifting_longlines,2013,Number of vessels,104
Japan,drifting_longlines,2014,Number of vessels,134
Japan,drifting_longlines,2015,Number of vessels,172
Japan,drifting_longlines,2016,Number of vessels,123
Japan,drifting_longlines,2017,Number of vessels,95
Japan,drifting_longlines,2018,Number of vessels,28
Norway,trawlers,2012,Number of vessels,4
Norway,trawlers,2013,Number of vessels,2
Norway,trawlers,2014,Number of vessels,1
Other,drifting_longlines,2012,Number of vessels,52
Other,drifting_longlines,2013,Number of vessels,59
Other,drifting_longlines,2014,Number of vessels,61
Other,drifting_longlines,2015,Number of vessels,63
Other,drifting_longlines,2016,Number of vessels,36
Other,drifting_longlines,2017,Number of vessels,36
Other,drifting_longlines,2018,Number of vessels,13
Other,squid_jigger,2012,Number of vessels,5
Other,squid_jigger,2013,Number of vessels,6
Other,squid_jigger,2014,Number of vessels,8
Other,squid_jigger,2015,Number of vessels,3
Other,squid_jigger,2016,Number of vessels,1
Other,squid_jigger,2018,Number of vessels,2
Other,trawlers,2012,Number of vessels,10
Other,trawlers,2013,Number of vessels,6
Other,trawlers,2014,Number of vessels,8
Other,trawlers,2015,Number of vessels,5
Other,trawlers,2016,Number of vessels,2
Other,trawlers,2017,Number of vessels,1
Portugal,trawlers,2012,Number of vessels,4
Portugal,trawlers,2013,Number of vessels,3
Portugal,trawlers,2014,Number of vessels,4
Portugal,trawlers,2015,Number of vessels,6
Portugal,trawlers,2016,Number of vessels,8
Portugal,trawlers,2017,Number of vessels,7
Portugal,trawlers,2018,Number of vessels,2
Russia,trawlers,2012,Number of vessels,39
Russia,trawlers,2013,Number of vessels,18
Russia,trawlers,2014,Number of vessels,32
Russia,trawlers,2015,Number of vessels,14
Russia,trawlers,2016,Number of vessels,3
Russia,trawlers,2017,Number of vessels,1
Seychelles,drifting_longlines,2012,Number of vessels,1
Seychelles,drifting_longlines,2013,Number of vessels,1
Seychelles,drifting_longlines,2014,Number of vessels,5
Seychelles,drifting_longlines,2015,Number of vessels,16
Seychelles,drifting_longlines,2016,Number of vessels,25
Seychelles,drifting_longlines,2017,Number of vessels,29
Seychelles,drifting_longlines,2018,Number of vessels,28
South Korea,drifting_longlines,2012,Number of vessels,134
South Korea,drifting_longlines,2013,Number of vessels,122
South Korea,drifting_longlines,2014,Number of vessels,112
South Korea,drifting_longlines,2015,Number of vessels,107
South Korea,drifting_longlines,2016,Number of vessels,110
South Korea,drifting_longlines,2017,Number of vessels,96
South Korea,drifting_longlines,2018,Number of vessels,19
South Korea,squid_jigger,2012,Number of vessels,34
South Korea,squid_jigger,2013,Number of vessels,22
South Korea,squid_jigger,2014,Number of vessels,31
South Korea,squid_jigger,2015,Number of vessels,30
South Korea,squid_jigger,2016,Number of vessels,21
South Korea,squid_jigger,2017,Number of vessels,6
South Korea,trawlers,2012,Number of vessels,12
South Korea,trawlers,2013,Number of vessels,9
South Korea,trawlers,2014,Number of vessels,8
South Korea,trawlers,2015,Number of vessels,6
South Korea,trawlers,2016,Number of vessels,3
Spain,trawlers,2012,Number of vessels,9
Spain,trawlers,2013,Number of vessels,11
Spain,trawlers,2014,Number of vessels,12
Spain,trawlers,2015,Number of vessels,8
Spain,trawlers,2016,Number of vessels,7
Spain,trawlers,2017,Number of vessels,4
Taiwan,drifting_longlines,2012,Number of vessels,18
Taiwan,drifting_longlines,2013,Number of vessels,94
Taiwan,drifting_longlines,2014,Number of vessels,188
Taiwan,drifting_longlines,2015,Number of vessels,308
Taiwan,drifting_longlines,2016,Number of vessels,355
Taiwan,drifting_longlines,2017,Number of vessels,442
Taiwan,drifting_longlines,2018,Number of vessels,326
Taiwan,squid_jigger,2012,Number of vessels,71
Taiwan,squid_jigger,2013,Number of vessels,75
Taiwan,squid_jigger,2014,Number of vessels,58
Taiwan,squid_jigger,2015,Number of vessels,71
Taiwan,squid_jigger,2016,Number of vessels,14
Taiwan,squid_jigger,2017,Number of vessels,6
Vanuatu,drifting_longlines,2012,Number of vessels,1
Vanuatu,drifting_longlines,2013,Number of vessels,1
Vanuatu,drifting_longlines,2014,Number of vessels,10
Vanuatu,drifting_longlines,2015,Number of vessels,29
Vanuatu,drifting_longlines,2016,Number of vessels,33
Vanuatu,drifting_longlines,2017,Number of vessels,35
Vanuatu,drifting_longlines,2018,Number of vessels,20
China,drifting_longlines,2012,Number of crew,722.435682143375
China,drifting_longlines,2013,Number of crew,1640.0605989265775
China,drifting_longlines,2014,Number of crew,2344.992788353633
China,drifting_longlines,2015,Number of crew,4133.665980129725
China,drifting_longlines,2016,Number of crew,4568.1381114129335
China,drifting_longlines,2017,Number of crew,5431.98652668363
China,drifting_longlines,2018,Number of crew,3766.283444142029
China,squid_jigger,2012,Number of crew,521.2737494624666
China,squid_jigger,2013,Number of crew,1415.2539588653221
China,squid_jigger,2014,Number of crew,4246.772980812908
China,squid_jigger,2015,Number of crew,5663.445798914317
China,squid_jigger,2016,Number of crew,5119.980150562805
China,squid_jigger,2017,Number of crew,7390.167093736673
China,squid_jigger,2018,Number of crew,3782.8665072069507
China,trawlers,2012,Number of crew,150.45094016771978
