year,class,mmsi,offender,fldb_vessel_id
2012,0,273526800,1,72
2013,0,273526800,0,72
2014,1,273526800,0,72
2015,1,312000125,1,5
2016,1,312000125,0,5
2014,0,312422000,0,4
2015,1,312422000,1,4
2017,0,312422000,0,4
2015,0,412201837,0,102
2016,0,412201837,1,102
2017,0,412201837,0,102
2018,0,412201837,0,102
2014,1,412329687,0,176
2015,1,412329687,0,176
2016,1,412329687,1,176
2017,1,412329687,0,176
2018,1,412329687,0,176
2014,0,412420941,0,97
2015,1,412420941,1,97
2016,1,412420941,0,97
2017,1,412420941,0,97
2018,0,412420941,0,97
2015,1,413270220,0,100
2016,1,413270220,0,100
2017,1,413270220,1,100
2018,1,413270220,0,100
2014,1,416001769,1,118
2015,1,416001769,0,118
2016,1,416001769,0,118
2017,1,416001769,0,118
2018,1,416001769,0,118
2013,1,416004553,0,172
2014,1,416004553,0,172
2015,1,416004553,0,172
2016,1,416004553,1,172
2017,1,416004553,0,172
2018,1,416004553,0,172
2017,1,416054500,1,154
2018,1,416054500,0,154
2015,0,416180800,0,193
2016,1,416180800,0,193
2017,1,416180800,1,193
2018,1,416180800,0,193
2013,1,416243500,0,188
2014,1,416243500,0,188
2015,1,416243500,0,188
2016,1,416243500,0,188
2017,1,416243500,0,188
2018,1,416243500,1,188
2012,1,431602130,1,173
2013,1,431602130,0,173
2014,1,431602130,0,173
2015,0,431602130,0,173
2012,1,440652000,0,179
2013,1,440652000,1,179
2014,1,440652000,0,179
2015,1,440652000,0,179
2016,1,440652000,0,179
2017,1,440652000,0,179
2018,0,440652000,0,179
2012,1,440801000,0,156
2013,1,440801000,0,156
2014,1,440801000,1,156
2015,1,440801000,0,156
2016,1,440801000,0,156
2017,1,440801000,0,156
2018,1,440801000,0,156
2012,1,440980000,1,146
2013,1,440980000,0,146
2014,0,440980000,0,146
2015,0,440980000,0,146
2016,0,440980000,0,146
2012,1,441044000,0,107
2013,1,441044000,0,107
2012,1,441051000,1,149
2013,0,441051000,0,149
2014,1,441051000,0,149
2015,1,441051000,0,149
2016,1,441051000,0,149
2017,1,441051000,0,149
2018,0,441051000,0,149
2012,1,441053000,1,148
2013,0,441053000,0,148
2014,0,441053000,0,148
2015,0,441053000,0,148
2012,1,515844000,0,94
2013,1,515844000,0,94
2014,1,515844000,0,94
2016,0,515844000,0,94
2015,1,567000421,1,1
2016,1,567000421,0,1
2015,1,567000445,1,6
2016,1,567000445,0,6
2015,1,567025800,1,2
2016,0,567025800,0,2
2014,1,576678000,0,79
2015,1,576678000,1,79
2016,1,576678000,0,79
2017,1,576678000,0,79
2018,1,576678000,0,79
