port_iso3,year,gear,total_visits,high_risk_visits,known_offender_visits,fraction_high_risk_visits,psma_year,psma_country
NA,2014,trawlers,210,22,0,0.10476190476190476,NA,FALSE
NA,2015,trawlers,318,24,0,0.07547169811320754,NA,FALSE
NA,2018,trawlers,806,8,0,0.009925558312655087,NA,FALSE
NA,2017,trawlers,636,26,0,0.040880503144654086,NA,FALSE
NA,2016,trawlers,286,22,0,0.07692307692307693,NA,FALSE
NA,2012,trawlers,61,17,0,0.2786885245901639,NA,FALSE
NA,2013,trawlers,243,26,0,0.10699588477366255,NA,FALSE
ABW,2014,trawlers,1,0,0,0,NA,FALSE
ABW,2013,trawlers,1,0,0,0,NA,FALSE
AGO,2016,trawlers,566,12,0,0.02120141342756184,NA,FALSE
AGO,2015,trawlers,274,18,0,0.06569343065693431,NA,FALSE
AGO,2012,trawlers,21,1,0,0.047619047619047616,NA,FALSE
AGO,2013,trawlers,92,18,0,0.1956521739130435,NA,FALSE
AGO,2018,trawlers,757,0,0,0,NA,FALSE
AGO,2017,trawlers,879,0,0,0,NA,FALSE
AGO,2014,trawlers,149,24,0,0.1610738255033557,NA,FALSE
ALA,2014,trawlers,2,0,0,0,NA,FALSE
ALB,2018,trawlers,644,0,0,0,2017,TRUE
ALB,2013,trawlers,2,0,0,0,2017,FALSE
ALB,2017,trawlers,88,0,0,0,2017,TRUE
ALB,2014,trawlers,6,0,0,0,2017,FALSE
ALB,2016,trawlers,86,0,0,0,2017,FALSE
ALB,2015,trawlers,7,0,0,0,2017,FALSE
ANT,2018,trawlers,1,0,0,0,NA,FALSE
ARE,2013,trawlers,19,0,0,0,NA,FALSE
ARE,2016,trawlers,25,0,0,0,NA,FALSE
ARE,2015,trawlers,13,0,0,0,NA,FALSE
ARE,2012,trawlers,10,0,0,0,NA,FALSE
ARE,2017,trawlers,16,0,0,0,NA,FALSE
ARE,2014,trawlers,7,0,0,0,NA,FALSE
ARE,2018,trawlers,11,0,0,0,NA,FALSE
ARG,2018,trawlers,8653,0,0,0,NA,FALSE
ARG,2012,trawlers,1449,35,0,0.024154589371980676,NA,FALSE
ARG,2013,trawlers,2508,16,0,0.006379585326953748,NA,FALSE
ARG,2014,trawlers,2841,2,0,7.039774727208729e-4,NA,FALSE
ARG,2017,trawlers,6231,0,0,0,NA,FALSE
ARG,2015,trawlers,2486,0,0,0,NA,FALSE
ARG,2016,trawlers,2375,0,0,0,NA,FALSE
ATA,2018,trawlers,68,0,0,0,NA,FALSE
ATA,2013,trawlers,58,57,0,0.9827586206896551,NA,FALSE
ATA,2012,trawlers,10,10,0,1,NA,FALSE
ATA,2014,trawlers,110,110,0,1,NA,FALSE
ATA,2017,trawlers,91,65,0,0.7142857142857143,NA,FALSE
ATA,2016,trawlers,35,32,0,0.9142857142857143,NA,FALSE
ATA,2015,trawlers,64,64,0,1,NA,FALSE
ATG,2013,trawlers,2,0,0,0,NA,FALSE
ATG,2014,trawlers,1,0,0,0,NA,FALSE
ATG,2017,trawlers,5,0,0,0,NA,FALSE
ATG,2016,trawlers,3,0,0,0,NA,FALSE
