model_type,under_ratio,.threshold,.metric,mean_performance,median_performance,sd_performance,min_performance,number_bags
random-forest,1,0.68,detection_prevalence,0.17883487039870774,0.1760223075007244,0.0213599638396583,0.15375339161893278,1
random-forest,1,0.68,modified_f1,4.477153399949721,5.525206460181044,1.9142085228671701,1.3150277557494052,1
random-forest,1,0.68,recall,0.8666666666666667,1,0.2194268628681278,0.5,1
random-forest,2,0.64,detection_prevalence,0.17191349797344996,0.16675458426331624,0.019561413544467988,0.1524197195838987,1
random-forest,2,0.64,modified_f1,5.288645394871585,5.996878339016389,1.7323455202509168,2.0877365136876005,1
random-forest,2,0.64,recall,0.9291666666666667,1,0.14965237496723313,0.625,1
random-forest,3,0.45,detection_prevalence,0.27912670499829356,0.27636644745348815,0.01909381859070226,0.24449804039794995,1
random-forest,3,0.45,modified_f1,3.3706683947899583,3.6026655537449432,0.574399993791556,1.8177832579805453,1
random-forest,3,0.45,recall,0.9666666666666667,1,0.10540925533894596,0.6666666666666666,1
random-forest,4,0.67,detection_prevalence,0.16436559940329107,0.16787275742499624,0.01956810135190994,0.13031033443808376,1
random-forest,4,0.67,modified_f1,4.805045669197587,5.587713209325566,1.997064439309545,1.436958405545927,1
random-forest,4,0.67,recall,0.8666666666666667,1,0.2194268628681278,0.5,1
random-forest,5,0.66,detection_prevalence,0.1915583262636505,0.19757274234886174,0.018221743584298223,0.15920398009950248,1
random-forest,5,0.66,modified_f1,4.219246763158921,4.931732095948205,1.904584655455091,1.2834752321981424,1
random-forest,5,0.66,recall,0.8666666666666667,1,0.2194268628681278,0.5,1
random-forest,NA,0.01,detection_prevalence,0.0053969563496991686,0.005578169757274235,0.0014104677237324053,0.00346489906598373,1
random-forest,NA,0.01,modified_f1,0,0,0,0,1
random-forest,NA,0.01,recall,0,0,0,0,1
svm,1,0.51,detection_prevalence,0.24150297031465923,0.23381296075782643,0.03442482328600902,0.19737635705669482,1
svm,1,0.51,modified_f1,3.926433251712686,4.180182258576874,0.9096387684588428,1.8286098377997178,1
svm,1,0.51,recall,0.9625,1,0.11858541225631422,0.625,1
svm,2,0.24000000000000002,detection_prevalence,0.41939493700238084,0.4329865822403136,0.05072075813007043,0.33142512805061763,1
svm,2,0.24000000000000002,modified_f1,2.4185458487523808,2.309621312557627,0.31540723969529055,2.1000633312222927,1
svm,2,0.24000000000000002,recall,1,1,0,1,1
svm,3,0.47000000000000003,detection_prevalence,0.2959577583980322,0.2875018845168099,0.037239425708406736,0.2374209099126243,1
svm,3,0.47000000000000003,modified_f1,3.169335415846868,3.336353060211378,0.6227697479318791,1.6452847398477157,1
svm,3,0.47000000000000003,recall,0.9625,1,0.11858541225631422,0.625,1
svm,4,0.35000000000000003,detection_prevalence,0.34020200750425444,0.32973881642705793,0.0537329236422019,0.259114191021392,1
svm,4,0.35000000000000003,modified_f1,2.7179050454044793,2.7618919165677576,0.7225593098960005,0.9648255813953488,1
svm,4,0.35000000000000003,recall,0.95,1,0.15811388300841897,0.5,1
svm,5,0.37,detection_prevalence,0.2986524292915185,0.29172320217096337,0.03489852910264778,0.2473993668023519,1
svm,5,0.37,modified_f1,3.167124510558117,3.365285421479368,0.7185228911509693,1.4161489623156744,1
svm,5,0.37,recall,0.9625,1,0.11858541225631422,0.625,1
svm,NA,0.01,detection_prevalence,7.538067308092819e-5,0,1.0660437031955044e-4,0,1
svm,NA,0.01,modified_f1,NaN,NA,NaN,NaN,1
svm,NA,0.01,recall,0,0,0,0,1
random-forest,1,0.6,detection_prevalence,0.18646310387994516,0.1862797696824937,0.006173737243691508,0.18015980702547868,10
random-forest,1,0.6,modified_f1,4.64804436520247,5.2832219938335045,1.4695408926158218,1.3748964374482187,10
random-forest,1,0.6,recall,0.9166666666666666,1,0.18002057495577392,0.5,10
random-forest,2,0.54,detection_prevalence,0.21399029721960228,0.21513643901703605,0.00790162273520638,0.1999095431931253,10
random-forest,2,0.54,modified_f1,4.133177372548748,4.601523803932062,1.1616355330889232,1.9108096904937362,10
random-forest,2,0.54,recall,0.9291666666666667,1,0.14965237496723313,0.625,10
random-forest,3,0.51,detection_prevalence,0.22820692195061884,0.22795115332428767,0.010191989781914955,0.21000301295570956,10
random-forest,3,0.51,modified_f1,3.8591581188729775,4.303868602139312,1.0471712594303808,1.8600923601147776,10
random-forest,3,0.51,recall,0.9291666666666667,1,0.14965237496723313,0.625,10
random-forest,4,0.59,detection_prevalence,0.20000084815987834,0.20164329865822403,0.00795291260707755,0.18966556191623984,10
random-forest,4,0.59,modified_f1,4.34459420953405,4.915348765950717,1.402596488140545,1.3181096108022239,10
random-forest,4,0.59,recall,0.9166666666666666,1,0.18002057495577392,0.5,10
random-forest,5,0.55,detection_prevalence,0.2155734163106418,0.21506105834464043,0.00809110302510252,0.2033745103946972,10
random-forest,5,0.55,modified_f1,4.100740670303898,4.636868023445037,1.1466483751867411,1.9207175925925926,10
random-forest,5,0.55,recall,0.9291666666666667,1,0.14965237496723313,0.625,10
random-forest,NA,0.01,detection_prevalence,0.0053969563496991686,0.005578169757274235,0.0014104677237324053,0.00346489906598373,10
random-forest,NA,0.01,modified_f1,0,0,0,0,10
random-forest,NA,0.01,recall,0,0,0,0,10
svm,1,0.28,detection_prevalence,0.3770009247825676,0.3829337335573987,0.03785855385008803,0.30551370894847846,10
svm,1,0.28,modified_f1,2.4784416878171127,2.5973389407274405,0.46266864070634206,1.2785841962524656,10
svm,1,0.28,recall,0.9625,1,0.11858541225631422,0.625,10
svm,2,0.35000000000000003,detection_prevalence,0.31327798774234245,0.31823317794052003,0.024525469265826723,0.2535402229587225,10
svm,2,0.35000000000000003,modified_f1,2.9716933970859705,3.1312395527472905,0.5176438500598991,1.540682560903149,10
svm,2,0.35000000000000003,recall,0.9625,1,0.11858541225631422,0.625,10
svm,3,0.33,detection_prevalence,0.3662036238656434,0.36695311322176993,0.021181151041466104,0.3345394240916629,10
svm,3,0.33,modified_f1,2.739014702292156,2.725155296015702,0.1594688272627865,2.5220532319391635,10
svm,3,0.33,recall,1,1,0,1,10
svm,4,0.35000000000000003,detection_prevalence,0.3157360927598626,0.32360922659430125,0.027634460303160902,0.24495329918650197,10
svm,4,0.35000000000000003,modified_f1,2.944643175913107,3.067320132154351,0.4889296946129845,1.5946917281672817,10
svm,4,0.35000000000000003,recall,0.9625,1,0.11858541225631422,0.625,10
svm,5,0.43,detection_prevalence,0.27314709368881285,0.27393336348560227,0.016708121318292198,0.2306417595661344,10
svm,5,0.43,modified_f1,3.410572624061851,3.612581419937605,0.6105630095053699,1.693643860222077,10
svm,5,0.43,recall,0.9625,1,0.11858541225631422,0.625,10
svm,NA,0.01,detection_prevalence,7.538067308092819e-5,0,1.0660437031955044e-4,0,10
svm,NA,0.01,modified_f1,NaN,NA,NaN,NaN,10
svm,NA,0.01,recall,0,0,0,0,10
random-forest,1,0.5700000000000001,detection_prevalence,0.20181002748963128,0.20043720789989447,0.006921162373285222,0.1898162097017174,50
random-forest,1,0.5700000000000001,modified_f1,4.295479774972047,4.905378339009075,1.3686520570478624,1.317063492063492,50
random-forest,1,0.5700000000000001,recall,0.9166666666666666,1,0.18002057495577392,0.5,50
random-forest,2,0.5700000000000001,detection_prevalence,0.19801086648598823,0.1994572591587517,0.005875440813560567,0.18830973184694186,50
random-forest,2,0.5700000000000001,modified_f1,4.380942958094341,4.9966675859533005,1.3995547652370965,1.3276,50
random-forest,2,0.5700000000000001,recall,0.9166666666666666,1,0.18002057495577392,0.5,50
random-forest,3,0.56,detection_prevalence,0.20612155219756226,0.2063922810191467,0.006151156554556888,0.194335643266044,50
random-forest,3,0.56,modified_f1,4.198252670277672,4.818743825049399,1.3222618755857245,1.2864341085271318,50
random-forest,3,0.56,recall,0.9166666666666666,1,0.18002057495577392,0.5,50
random-forest,4,0.5800000000000001,detection_prevalence,0.19000598631975715,0.191707564545951,0.00665493159820895,0.17970752299110507,50
random-forest,4,0.5800000000000001,modified_f1,4.569400271001746,5.177644893643601,1.4684574097418575,1.3910310142497906,50
random-forest,4,0.5800000000000001,recall,0.9166666666666666,1,0.18002057495577392,0.5,50
random-forest,5,0.56,detection_prevalence,0.20728201012791148,0.2063922810191467,0.00746577515588793,0.1956882255389718,50
random-forest,5,0.56,modified_f1,4.193302135052196,4.786135346910472,1.3555359137838374,1.271647509578544,50
random-forest,5,0.56,recall,0.9166666666666666,1,0.18002057495577392,0.5,50
random-forest,NA,0.01,detection_prevalence,0.0053969563496991686,0.005578169757274235,0.0014104677237324053,0.00346489906598373,50
random-forest,NA,0.01,modified_f1,0,0,0,0,50
random-forest,NA,0.01,recall,0,0,0,0,50
svm,1,0.3,detection_prevalence,0.3609459522524785,0.3688854673290348,0.028271341809412414,0.2931605905393191,50
svm,1,0.3,modified_f1,2.638607979262957,2.6717706668397523,0.27759088147979477,1.9187435765673175,50
svm,1,0.3,recall,0.975,1,0.07905694150420949,0.75,50
svm,2,0.32,detection_prevalence,0.3389195468279059,0.34501733755465097,0.020257937486737394,0.2909008737571558,50
svm,2,0.32,modified_f1,2.8105007712909256,2.8849506186854352,0.3225160446922021,1.9336483687208699,50
svm,2,0.32,recall,0.975,1,0.07905694150420949,0.75,50
svm,3,0.34,detection_prevalence,0.3386035114792061,0.34290667872757424,0.020516153239677832,0.2881892136185598,50
svm,3,0.34,modified_f1,2.8123067032975952,2.8926080705592403,0.3151119704817141,1.951842655514898,50
svm,3,0.34,recall,0.975,1,0.07905694150420949,0.75,50
svm,4,0.38,detection_prevalence,0.3041127882682948,0.30966380220111567,0.023776396220452724,0.24118710454956313,50
svm,4,0.38,modified_f1,3.057189204700236,3.203088871775251,0.5133242726410484,1.619593222985634,50
svm,4,0.38,recall,0.9625,1,0.11858541225631422,0.625,50
svm,5,0.34,detection_prevalence,0.32746401483139576,0.3338861741844566,0.02477917195977809,0.2606206688761675,50
svm,5,0.34,modified_f1,2.8388300299297198,2.968449668610206,0.47614891243565916,1.4988258670520231,50
svm,5,0.34,recall,0.9625,1,0.11858541225631422,0.625,50
svm,NA,0.01,detection_prevalence,7.538067308092819e-5,0,1.0660437031955044e-4,0,50
svm,NA,0.01,modified_f1,NaN,NA,NaN,NaN,50
svm,NA,0.01,recall,0,0,0,0,50
random-forest,1,0.5700000000000001,detection_prevalence,0.19962415373949013,0.1992311171415649,0.005677119665014942,0.18710454956312142,100
random-forest,1,0.5700000000000001,modified_f1,4.338884934925863,4.976173230340636,1.3756735159481996,1.3361513687600644,100
random-forest,1,0.5700000000000001,recall,0.9166666666666666,1,0.18002057495577392,0.5,100
random-forest,2,0.5700000000000001,detection_prevalence,0.20262398202525775,0.20260799855065487,0.00594982091698361,0.19192527869840315,100
random-forest,2,0.5700000000000001,modified_f1,4.273702980776412,4.859405860884499,1.3513059921494035,1.302590266875981,100
random-forest,2,0.5700000000000001,recall,0.9166666666666666,1,0.18002057495577392,0.5,100
random-forest,3,0.5700000000000001,detection_prevalence,0.20177991386096697,0.20177878842874636,0.006707194587913369,0.18996685748719494,100
random-forest,3,0.5700000000000001,modified_f1,4.2917889417467,4.88820322716589,1.3587820731374673,1.3160190325138779,100
random-forest,3,0.5700000000000001,recall,0.9166666666666666,1,0.18002057495577392,0.5,100
random-forest,4,0.5700000000000001,detection_prevalence,0.19712142905950045,0.1984019297452133,0.005540858970377801,0.18770714070503164,100
random-forest,4,0.5700000000000001,modified_f1,4.3993686152768925,4.97249020076146,1.4025510329216775,1.3318619582664526,100
random-forest,4,0.5700000000000001,recall,0.9166666666666666,1,0.18002057495577392,0.5,100
random-forest,5,0.5700000000000001,detection_prevalence,0.19956363108687947,0.19968340117593847,0.006174082431792533,0.18861102741789695,100
random-forest,5,0.5700000000000001,modified_f1,4.3482507082738655,4.920582911342594,1.3927335145549087,1.325479233226837,100
random-forest,5,0.5700000000000001,recall,0.9166666666666666,1,0.18002057495577392,0.5,100
random-forest,NA,0.01,detection_prevalence,0.0053969563496991686,0.005578169757274235,0.0014104677237324053,0.00346489906598373,100
random-forest,NA,0.01,modified_f1,0,0,0,0,100
random-forest,NA,0.01,recall,0,0,0,0,100
svm,1,0.32,detection_prevalence,0.34767899236003913,0.35463921337575377,0.02311529524700656,0.2909008737571558,100
svm,1,0.32,modified_f1,2.6795757295106464,2.804864763970528,0.47930479890455074,1.3428113671672708,100
svm,1,0.32,recall,0.9625,1,0.11858541225631422,0.625,100
svm,2,0.34,detection_prevalence,0.3292722539345646,0.33657470224634406,0.021633401089492767,0.27357637842723714,100
svm,2,0.34,modified_f1,2.827743621322265,2.9526351925717647,0.49902207218561806,1.4278462279735682,100
svm,2,0.34,recall,0.9625,1,0.11858541225631422,0.625,100
svm,3,0.36000000000000004,detection_prevalence,0.3191266944613334,0.3243121127192927,0.020395216032551736,0.26514010244049413,100
svm,3,0.36000000000000004,modified_f1,2.916987099728419,3.0786761525111466,0.5123672176084748,1.4732776988636362,100
svm,3,0.36000000000000004,recall,0.9625,1,0.11858541225631422,0.625,100
svm,4,0.38,detection_prevalence,0.3069466041188001,0.31491670106179714,0.021853989823285767,0.24706236818318772,100
svm,4,0.38,modified_f1,3.029037173365376,3.172406387514066,0.5124165598076037,1.581078506097561,100
svm,4,0.38,recall,0.9625,1,0.11858541225631422,0.625,100
svm,5,0.34,detection_prevalence,0.32526261763538966,0.33222771982831756,0.02174489050989524,0.2658933413678819,100
svm,5,0.34,modified_f1,2.859835040427097,2.9986527494375554,0.4918446225637403,1.4691041076487252,100
svm,5,0.34,recall,0.9625,1,0.11858541225631422,0.625,100
svm,NA,0.01,detection_prevalence,7.538067308092819e-5,0,1.0660437031955044e-4,0,100
svm,NA,0.01,modified_f1,NaN,NA,NaN,NaN,100
svm,NA,0.01,recall,0,0,0,0,100
