year_assumption,include_vessel_characteristics,model_type,under_ratio,.threshold,.metric,mean_performance,median_performance,sd_performance,min_performance,number_bags,bagging
1,FALSE,random_forest,1,0.52,detection_prevalence,0.2312068818241014,0.23215501775070527,0.008358334481598263,0.21090689966857487,100,TRUE
1,FALSE,random_forest,1,0.52,modified_f1,3.801605326892272,4.262869316644686,1.012842763816156,1.8521205357142858,100,TRUE
1,FALSE,random_forest,1,0.52,recall,0.9291666666666667,1,0.14965237496723313,0.625,100,TRUE
1,TRUE,random_forest,1,0.5700000000000001,detection_prevalence,0.19966940486711998,0.19900497512437812,0.006010205665361317,0.18695390177764387,100,TRUE
1,TRUE,random_forest,1,0.5700000000000001,modified_f1,4.338458533763484,4.980133928571428,1.3768624954708288,1.3372280419016922,100,TRUE
1,TRUE,random_forest,1,0.5700000000000001,recall,0.9166666666666666,1,0.18002057495577392,0.5,100,TRUE
2,FALSE,random_forest,1,0.49,detection_prevalence,0.23945361360813702,0.2417847452517335,0.011933929308469695,0.2136829415310428,100,TRUE
2,FALSE,random_forest,1,0.49,modified_f1,3.4484913823216856,4.079098472140363,1.409283930091162,0.5199811941701927,100,TRUE
2,FALSE,random_forest,1,0.49,recall,0.8833333333333333,1,0.24907235301622108,0.3333333333333333,100,TRUE
2,TRUE,random_forest,1,0.5800000000000001,detection_prevalence,0.1760590852077572,0.17755676893643962,0.007308348055145977,0.16229656419529837,100,TRUE
2,TRUE,random_forest,1,0.5800000000000001,modified_f1,4.153726971427146,5.453394915735272,2.09249685584608,0.6846177653977097,100,TRUE
2,TRUE,random_forest,1,0.5800000000000001,recall,0.8222222222222222,1,0.26682094302707965,0.3333333333333333,100,TRUE
3,FALSE,random_forest,1,0.45,detection_prevalence,0.2500377341297268,0.2509046078324779,0.013027755914970775,0.2230259192284509,100,TRUE
3,FALSE,random_forest,1,0.45,modified_f1,3.348162836149755,3.908463625894472,1.2715037191071605,0.49819819819819816,100,TRUE
3,FALSE,random_forest,1,0.45,recall,0.8933333333333333,1,0.23349200953891017,0.3333333333333333,100,TRUE
3,TRUE,random_forest,1,0.52,detection_prevalence,0.20322811905761864,0.20349734508930992,0.008545350429098795,0.1859553948161543,100,TRUE
3,TRUE,random_forest,1,0.52,modified_f1,4.048940211650084,4.725843411419796,1.562727742290547,0.5975148568341437,100,TRUE
3,TRUE,random_forest,1,0.52,recall,0.8842424242424243,1,0.23062975229711388,0.3333333333333333,100,TRUE
4,FALSE,random_forest,1,0.48000000000000004,detection_prevalence,0.23413212142525686,0.23477543887513633,0.007600699645874023,0.22091621458710067,100,TRUE
4,FALSE,random_forest,1,0.48000000000000004,modified_f1,3.7256205780541007,4.2243519348618515,1.1219458218843457,1.131650750341064,100,TRUE
4,FALSE,random_forest,1,0.48000000000000004,recall,0.9214285714285715,1,0.17317234805683981,0.5,100,TRUE
4,TRUE,random_forest,1,0.54,detection_prevalence,0.18547293719191302,0.1854839774319242,0.0053184999261838796,0.1767631103074141,100,TRUE
4,TRUE,random_forest,1,0.54,modified_f1,4.621468124207862,5.244676516556151,1.4078097266684433,1.4143222506393862,100,TRUE
4,TRUE,random_forest,1,0.54,recall,0.9130952380952381,1,0.17096221840201203,0.5,100,TRUE
5,FALSE,random_forest,1,0.48000000000000004,detection_prevalence,0.2308032175524261,0.23050873425881369,0.0056278644057903065,0.22377938517179025,100,TRUE
5,FALSE,random_forest,1,0.48000000000000004,modified_f1,4.163058916794101,4.319993879519789,0.5476671921853764,2.632234681164345,100,TRUE
5,FALSE,random_forest,1,0.48000000000000004,recall,0.9777777777777777,1,0.07027283689263064,0.7777777777777778,100,TRUE
5,TRUE,random_forest,1,0.62,detection_prevalence,0.13138212532950244,0.1308375454802937,0.002698263501338494,0.12782294489611562,100,TRUE
5,TRUE,random_forest,1,0.62,modified_f1,5.454310619569064,6.9319365704966405,2.5952755746612652,1.9134948096885815,100,TRUE
5,TRUE,random_forest,1,0.62,recall,0.8194444444444444,0.9583333333333333,0.23101805462730832,0.5,100,TRUE
6,FALSE,random_forest,1,0.54,detection_prevalence,0.1964380661719857,0.19683558474360563,0.003876942000724063,0.18978761861726162,100,TRUE
6,FALSE,random_forest,1,0.54,modified_f1,4.32329354042438,5.034916562645606,1.3595385033218033,1.2568181818181818,100,TRUE
6,FALSE,random_forest,1,0.54,recall,0.9068181818181819,1,0.16955147983985908,0.5,100,TRUE
6,TRUE,random_forest,1,0.66,detection_prevalence,0.10803625095174683,0.1083238545751487,0.0022138138045045518,0.10478771454381211,100,TRUE
6,TRUE,random_forest,1,0.66,modified_f1,5.969874704633841,6.719133743639794,3.1352762997084356,1.0283589028358902,100,TRUE
6,TRUE,random_forest,1,0.66,recall,0.7693181818181818,0.8465909090909092,0.24276891795648525,0.3333333333333333,100,TRUE
